IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
0,2700,0.00300000000000005,0.00300000000000005,0.261660427187746,0.354450467926018,0.261660427187746,0.531675701889027
90,2901,0.0239999999999999,-0.0239999999999999,0.262151279988565,0.326276675489293,0.262151279988565,0.48941501323394
136,3147,0.015,0.015,0.239748008357401,0.359397968043537,0.239748008357401,0.539096952065306
150,3147,0.00600000000000002,-0.00600000000000002,0.24799305375704,0.340084262382585,0.24799305375704,0.510126393573878
256,3642,0.027,-0.027,0.245885424187616,0.315611016220797,0.245885424187616,0.473416524331196
355,4386,0.027,-0.027,0.235813864796259,0.308727964085277,0.235813864796259,0.463091946127915
369,4717,0.021,0.021,0.200501751042166,0.341680498638374,0.200501751042166,0.512520747957561
450,5552,0.015,-0.015,0.217714578470488,0.307980352959312,0.217714578470488,0.461970529438968
507,6702,0.039,0.039,0.167517074759348,0.331381070207316,0.167517074759348,0.497071605310974
544,7443,0,0,0.1964100943,0.3044064416,0.1964100943,0.4566096624
